,precision,recall,f1-score,support
critical,0.8950819672131147,0.7127937336814621,0.7936046511627907,383.0
high,0.7537598776446597,0.7919121585431173,0.7723651560663445,3734.0
low,0.9287671232876712,0.46059782608695654,0.6158038147138964,2208.0
medium,0.6763189210630702,0.848469768599154,0.7526763050435934,4019.0
very_low,0.9552238805970149,0.898876404494382,0.9261939218523878,356.0
accuracy,0.7455140186915887,0.7455140186915887,0.7455140186915887,0.7455140186915887
macro avg,0.8418303539611062,0.7425299782810144,0.7721287697678025,10700.0
weighted avg,0.7725475729001847,0.7455140186915887,0.7385409348771041,10700.0
