,precision,recall,f1-score,support
critical,0.8270142180094787,0.9112271540469974,0.867080745341615,383.0
high,0.7802582033351264,0.776914836636315,0.7785829307568438,3734.0
low,0.822435174746336,0.6607789855072463,0.7327975891511803,2208.0
medium,0.7342625899280576,0.8126399601891018,0.7714656903271525,4019.0
very_low,0.9526627218934911,0.9044943820224719,0.9279538904899135,356.0
accuracy,0.7754205607476635,0.7754205607476635,0.7754205607476635,0.7754205607476635
macro avg,0.823326581582498,0.8132110636804265,0.815576169213341,10700.0
weighted avg,0.7790950206080233,0.7754205607476635,0.7745990523548536,10700.0
